,box_x,box_y,size_a,size_b,size_c,diffhand_loss,diffhand_flip,diffhand_t,model_loss,model_flip,model_t
58,17.843,-4.844,4.593,3.604,7.102,3819.140673697113,73.04444158480645,24.116,4155.515435729489,74.08548011073299,14.014
59,2.049,-2.051,3.068,3.523,4.6,1072.881196684421,13.786022024344396,38.048,581.3947881173525,8.646926967618239,98.036
60,-1.766,-4.544,4.423,6.156,3.478,3974.1290904271177,63.749513815581615,21.612,1484.9158569200522,22.406179364584876,17.207
61,22.894,-1.671,4.311,6.586,3.442,4003.870959723448,73.7605426390031,14.957,1042.831023216574,16.711915167644346,19.79
62,3.083,-0.969,6.315,2.124,4.155,1191.704937707682,18.054491806681447,14.027,1029.2076603614744,17.514779975085066,23.841
63,-6.507,-0.13,2.096,2.935,4.702,2188.1166202545483,18.194764110987265,47.971,1335.0634192778678,12.920850144158688,10.037
64,-20.253,4.694,6.051,2.214,7.173,5028.375611146839,29.680319507498005,33.474,4583.678157583441,26.897851202283356,10.796
65,15.308,3.459,6.243,4.892,7.886,3927.3775126663586,74.2912544315279,14.726,644.5886197118222,9.920779327974392,81.333
66,-6.385,-2.954,7.621,3.628,7.605,2539.776500100224,18.51143145978178,14.634,1604.3757352874782,20.574573535758148,27.395
67,2.354,1.866,2.614,6.994,5.221,783.5080807945036,9.548594848306815,27.034,643.1287223825614,8.89214324079233,39.845
68,-19.874,-4.886,2.838,5.672,6.282,5454.728289380712,24.830345440588715,36.583,4095.3582772197124,20.642368631450957,52.281
69,-24.672,4.279,2.069,2.988,5.077,6618.265405474934,22.150208924092126,49.878,6207.268472010223,21.71419062612949,43.11
70,-14.461,4.766,4.427,4.432,8.856,4195.959922076365,26.11413146294238,14.919,2996.3771517151886,22.680378895045564,51.208
71,1.491,-1.499,5.948,4.656,7.259,848.5749848280981,11.587512108220082,27.072,730.4692487902934,11.50357275654958,42.653
72,-20.793,-0.883,7.535,2.121,4.846,4584.983959870617,33.15505064891127,27.582,4059.150983563886,30.83447865604736,19.917
73,-20.505,3.644,5.148,2.062,7.595,4708.597388792722,24.53090041721195,40.223,4685.604778929978,24.85367753776342,51.998
74,-4.941,4.763,8.864,4.427,8.126,4092.5719921143295,72.00541760657019,71.462,1693.9944864761085,21.355257861815243,25.861
75,12.964,1.424,7.063,4.115,8.755,1524.2924990402037,25.88924615038615,18.289,527.7611669905899,8.74432663387002,50.643
76,16.803,0.078,4.674,4.605,4.367,3802.4632081585464,74.05625722629824,20.593,1248.9834608026285,20.90096819020567,8.814
77,-22.027,4.959,3.062,3.525,4.707,5383.293270685539,21.008277963204396,37.127,4715.683174105655,20.862239275349804,30.934
78,22.447,-2.472,2.979,3.448,3.416,2092.1369242006435,35.765201220096685,25.937,1406.2227934246746,23.18842987319759,15.199
79,-22.369,2.398,6.731,8.875,7.584,4547.729290164257,24.969337826833364,56.963,7179.461983374684,68.53017886433769,24.853
80,-8.8,-4.108,5.907,6.323,4.741,2483.1826428093036,24.070593591741506,13.893,1920.0093421430963,21.73409142241316,23.168
81,20.585,-0.219,4.134,4.539,2.108,3885.791529269729,73.76617331520517,27.299,1177.0313561089606,18.790407215096174,26.894
82,-11.101,-4.868,6.054,7.203,7.052,2854.680542701602,20.523240302556758,21.377,3695.4411072336934,21.549389516817573,21.11
83,13.935,0.52,8.816,4.444,2.356,3822.829205362532,74.06858003922788,20.108,3521.043598138396,67.83845376003428,28.589
84,4.876,-3.362,6.311,7.093,5.475,1249.3218220465733,18.738325423567204,44.816,1235.6388736214533,20.617722967095673,34.402
85,24.57,-4.868,5.398,6.163,7.981,4483.5068831054505,74.3322602245295,12.739,4156.144404750163,74.10205075263939,34.651
86,2.122,-4.58,6.259,8.066,2.543,3976.9285802615345,73.61377837915428,10.162,4144.252269960032,74.11991650224259,10.53
87,-8.422,3.7,3.869,4.78,4.454,1895.976030382155,14.512110140264893,39.204,1555.5294959066719,14.420521839319266,16.48
88,-2.036,-3.379,7.005,7.946,8.668,1948.0677885718874,22.87595196162276,15.142,2436.2829756282586,38.21867013984512,28.579
89,-22.929,0.488,8.281,5.128,8.106,4721.443518867504,29.736248795666015,54.864,5275.782028475081,39.092093058735216,13.122
90,-20.003,-1.435,6.214,6.499,6.215,5664.709085839904,35.986785340195915,23.344,3565.9188314201165,22.90625177686364,19.605
91,11.616,0.605,5.321,8.93,2.894,3740.7985560554425,73.52132798961652,42.108,875.4965991291056,15.498856918834285,30.726
92,-12.337,1.663,6.43,6.735,6.52,3122.774308612629,26.191068783770216,16.467,2267.7219339144604,20.649583410339424,26.178
93,1.41,1.542,7.085,4.766,7.359,954.7659467951122,13.74787705251685,9.366,893.4882504520864,13.606259358882932,29.017
94,-1.313,-2.331,3.31,2.442,6.953,1280.1638831339878,13.497882844936811,17.078,1313.1271315561858,18.070986237949917,7.403
95,-2.653,-1.664,6.002,8.308,7.867,1228.518608518758,15.26155151555012,41.52,1086.2701989524987,14.81865437783136,35.95
96,16.637,2.805,5.474,2.572,4.273,3922.540762129774,74.11962709941467,10.593,3931.3937884738266,74.07766985211305,46.431
97,-5.101,-0.418,8.635,5.275,2.458,3642.266858253248,37.65312414381183,12.275,3949.478762281604,73.96375279179925,16.505
98,15.437,4.516,6.123,3.469,4.995,4035.800058754236,74.10851026220335,21.412,3967.3559195215503,73.49983779368975,13.07
99,1.485,0.546,7.823,4.425,8.326,918.4037862297456,14.475513646369459,17.023,889.7097810123639,14.245082283261645,47.385
