,Episodes,Loss
0,1.0,4082.285146744549
1,2.0,4082.285146744549
2,3.0,3993.8476393823926
3,4.0,3833.156235004773
4,5.0,3842.5749085008106
5,6.0,3828.557334761902
6,7.0,3822.991340134503
7,8.0,3844.9155203773225
8,9.0,3842.931822671292
9,10.0,3822.991340134503
10,11.0,3874.500466534197
11,12.0,3842.72630361464
12,13.0,3843.076263599833
13,14.0,3822.9879805639644
14,15.0,3822.984652059619
15,16.0,3843.1583294746674
16,17.0,3822.9838235765747
17,18.0,3822.9829991583742
18,19.0,3843.199621824449
19,20.0,3822.982793557673
20,21.0,3822.9825884756087
21,22.0,3822.904965844551
22,23.0,3822.8548634762556
23,24.0,3822.85485796207
24,25.0,3822.854852450221
25,26.0,3822.8420612807595
26,27.0,3837.8688128154354
27,28.0,3843.5984936292903
28,29.0,3843.1214640340895
29,30.0,3822.841575577024
30,31.0,3822.8410915962136
31,32.0,3843.1618552847576
32,33.0,3822.8409708400504
33,34.0,3822.840850310732
34,35.0,3822.7793212951237
35,36.0,3822.7792895371813
36,37.0,3822.779257810723
37,38.0,3843.171937243703
38,39.0,3822.7792498835693
39,40.0,3822.779241960396
40,41.0,3822.76361866882
41,42.0,3822.7636166630155
42,43.0,3822.763614657722
43,44.0,3843.1744562275403
44,45.0,3822.763614657722
45,46.0,3837.5595141741724
46,47.0,3843.5024259409365
47,48.0,3843.0819842541896
48,49.0,3822.7628893713077
49,50.0,3822.762167166377
50,51.0,3843.129150365567
51,52.0,3822.7619870251474
52,53.0,3822.7618072930954
53,54.0,3843.1527632946895
54,55.0,3822.761762416627
55,56.0,3822.761717592761
56,57.0,3843.164565039759
57,58.0,3822.7617063941643
58,59.0,3822.761695202233
59,60.0,3843.170463734135
60,61.0,3822.7616924051918
61,62.0,3822.7616896089908
62,63.0,3843.1734125369517
63,64.0,3822.7616889100536
64,65.0,3822.761688211232
65,66.0,3822.761688211232
66,67.0,3841.568640939831
67,68.0,3843.59393689292
68,69.0,3843.171381747867
69,70.0,3822.7636129861503
70,71.0,3822.7636113149697
71,72.0,3843.174177887314
72,73.0,3822.763610897237
73,74.0,3822.763610479555
74,75.0,3843.175575811072
75,76.0,3822.7636103751383
76,77.0,3822.7636102707347
77,78.0,3843.176274736466
78,79.0,3822.763610244635
79,80.0,3822.7636102185315
80,81.0,3843.176624190039
81,82.0,3822.7636102120077
82,83.0,3822.763610205482
83,84.0,3843.176798914548
84,85.0,3822.76361020385
