,Episodes,Loss
0,1.0,6442.501876515162
1,2.0,6442.501876515162
2,3.0,4897.178351801351
3,4.0,4640.285345254237
4,5.0,4510.703949485787
5,6.0,3018.470656481493
6,7.0,2379.573140329142
7,8.0,2379.573140329142
8,9.0,2326.758534024948
9,10.0,2326.758534024948
10,11.0,2317.1610575797135
11,12.0,2317.1610575797135
12,13.0,2335.1341582073646
13,14.0,2316.5851780137577
14,15.0,2316.1613214533345
15,16.0,2327.7430538362782
16,17.0,2315.89470714402
17,18.0,2315.714722452227
18,19.0,2322.3912198396665
19,20.0,2315.7001115796807
20,21.0,2315.2712782826547
21,22.0,2315.2712782826547
22,23.0,2308.840938397087
23,24.0,2496.038710922182
24,25.0,2496.038710922182
25,26.0,2308.6708548048455
26,27.0,2308.079188983171
27,28.0,2280.8535733180233
28,29.0,2280.774402850321
29,30.0,2315.3266431268403
30,31.0,2336.522266074981
31,32.0,2280.774402850321
32,33.0,2280.774402850321
33,34.0,2280.5154556903353
34,35.0,2280.5154556903353
35,36.0,2337.6910737352487
36,37.0,2280.515327365875
37,38.0,2337.122852672897
38,39.0,2280.5152699143528
39,40.0,2336.8421090268757
40,41.0,2280.515245267087
41,42.0,2280.4921129207496
42,43.0,2336.620146062659
43,44.0,2280.49210944228
44,45.0,2280.4905350999675
45,46.0,2336.296399473296
46,47.0,2280.4905350999675
47,48.0,2350.384982155043
48,49.0,2357.213864917645
49,50.0,2325.401274252773
50,51.0,2336.4676783893237
51,52.0,2280.490530900346
52,53.0,2280.4889690254513
53,54.0,2336.248018458115
54,55.0,2280.4889680601195
55,56.0,2280.4884891842744
56,57.0,2280.4797459784077
57,58.0,2280.4739756773097
58,59.0,2336.242639927528
59,60.0,2280.473975665811
60,61.0,2336.2397675992447
61,62.0,2280.473975665811
62,63.0,2168.205059908108
63,64.0,2168.205059908108
64,65.0,2165.281271958225
65,66.0,2165.321582405586
66,67.0,2167.993433349966
67,68.0,2165.270546568962
68,69.0,2168.16206434536
69,70.0,2165.265394509294
70,71.0,2165.0664960152108
71,72.0,2165.065939619548
72,73.0,2164.998689857685
73,74.0,2168.1641392153183
74,75.0,2164.998689857685
75,76.0,2142.310529985572
76,77.0,2142.310529985572
77,78.0,1999.4869759710548
78,79.0,1999.4869759710548
79,80.0,1995.137275616254
80,81.0,1963.6071504130848
81,82.0,1963.6071504130848
82,83.0,1962.2625931921245
83,84.0,1962.2625931921245
84,85.0,1987.5730926632102
85,86.0,1962.261310923682
86,87.0,1963.1686858837866
87,88.0,1963.1686858837866
88,89.0,1987.24847922671
89,90.0,1963.1656457212346
90,91.0,1962.785749987759
91,92.0,1964.1228947602094
92,93.0,1985.6247011721036
93,94.0,1962.7623885285193
94,95.0,1986.1695168996948
95,96.0,1962.752497740961
96,97.0,1986.5292076207988
97,98.0,1962.7482676097209
98,99.0,1986.800003078706
99,100.0,1962.7464511073501
100,101.0,1986.98086106335
101,102.0,1962.7456664893539
102,103.0,1987.100059065927
103,104.0,1962.745326596038
104,105.0,1987.1786567507893
105,106.0,1962.7451790760026
106,107.0,1987.2304995126874
107,108.0,1962.745114969914
108,109.0,1962.6810135509738
109,110.0,1987.2421275581305
110,111.0,1962.6810103315447
111,112.0,1962.6810103315447
112,113.0,1962.6810103315447
113,114.0,1962.6810103315447
114,115.0,1987.128545381713
115,116.0,1962.7853495400266
116,117.0,1987.2115487239741
117,118.0,1962.7851757811902
118,119.0,1987.2662976905342
119,120.0,1962.7851002850805
120,121.0,1987.302417563245
121,122.0,1962.7850674543017
122,123.0,1987.3284261149229
123,124.0,1962.7850544811981
124,125.0,1962.7561955583635
125,126.0,1987.3335217900444
126,127.0,1962.75619490577
127,128.0,1962.7560398108303
128,129.0,1987.3383892513984
129,130.0,1962.7560396528388
130,131.0,1987.3400441716012
