,Episodes,Loss
0,1.0,10478.578943777602
1,2.0,7626.64747110002
2,3.0,7132.095272998266
3,4.0,5128.773680316624
4,5.0,5128.773680316624
5,6.0,4941.345652496563
6,7.0,4807.95516890251
7,8.0,4692.098264857051
8,9.0,4672.326167036618
9,10.0,4719.658201770584
10,11.0,4706.30460055056
11,12.0,4755.9295983630245
12,13.0,4668.630855043876
13,14.0,4690.376725711125
14,15.0,4792.857260053582
15,16.0,4689.47268772358
16,17.0,4759.2913788685655
17,18.0,4746.575400520963
18,19.0,4689.472452707604
19,20.0,4689.466215588211
20,21.0,4746.282856399779
21,22.0,4689.466159253947
22,23.0,4689.464662471867
23,24.0,4689.396230030513
24,25.0,4790.982302951584
25,26.0,4733.646075640114
26,27.0,4743.843406693881
27,28.0,4746.057362365614
28,29.0,4689.396186398749
29,30.0,4689.394747448371
30,31.0,4689.334545044178
31,32.0,4689.294815867001
32,33.0,4746.062004207955
33,34.0,4689.2948153315165
34,35.0,4689.29479702465
35,36.0,4746.0665033614
36,37.0,4689.29479702465
37,38.0,4714.645821817106
38,39.0,4763.725606689619
39,40.0,4727.835199951353
40,41.0,4742.932405115435
41,42.0,4745.975412141841
42,43.0,4689.294748647354
43,44.0,4689.293116006166
44,45.0,4746.022577294861
45,46.0,4689.2931042266
46,47.0,4689.292704974714
47,48.0,4746.04600996376
48,49.0,4689.292702067922
49,50.0,4689.292602751423
50,51.0,4746.057689008384
51,52.0,4689.292602029453
52,53.0,4689.2925753458285
53,54.0,4746.063518518098
54,55.0,4689.292575165956
55,56.0,4689.292569705758
56,57.0,4689.28865839072
57,58.0,4689.28865839072
58,59.0,4689.28865839072
59,60.0,4733.150918530388
60,61.0,4685.845290150981
61,62.0,4704.8422795154875
62,63.0,4708.356782086461
63,64.0,4680.70552913333
64,65.0,4693.2176816619485
65,66.0,4680.70552913333
66,67.0,4680.70552913333
67,68.0,4680.70552913333
68,69.0,4680.70552913333
69,70.0,4748.228951305464
70,71.0,4704.041978723403
71,72.0,4745.553563177299
72,73.0,4697.819159434735
73,74.0,4688.324488641365
74,75.0,4683.221847288875
75,76.0,4681.507777347157
76,77.0,4680.922900032423
77,78.0,4680.729102864279
78,79.0,4680.708368331069
79,80.0,4680.705950114318
80,81.0,4680.705518938992
81,82.0,4680.705518938843
82,83.0,4680.762663576903
83,84.0,4680.705518938831
84,85.0,4680.846105344549
85,86.0,4680.705518938747
