,Episodes,Loss
0,1.0,4246.3698777196305
1,2.0,4246.3698777196305
2,3.0,4377.952684064293
3,4.0,4081.2791254603785
4,5.0,4126.386469306592
5,6.0,4126.386469306592
6,7.0,4324.4751269471635
7,8.0,4137.108241704918
8,9.0,4126.335625199
9,10.0,4131.15052340749
10,11.0,4126.170152103962
11,12.0,4125.490548400536
12,13.0,4125.761919119881
13,14.0,4124.174917765728
14,15.0,4124.528382886018
15,16.0,4124.237111408931
16,17.0,4124.174917765728
17,18.0,4126.080872062093
18,19.0,4124.89195354676
19,20.0,4124.269032059862
20,21.0,4124.19043664726
21,22.0,4124.272091234791
22,23.0,4124.173848660369
23,24.0,4124.173876583216
24,25.0,4124.173735272538
25,26.0,4124.154769872626
26,27.0,4124.139795071732
27,28.0,4125.58472586617
28,29.0,4124.550441762232
29,30.0,4124.213053359584
30,31.0,4124.150745048284
31,32.0,4124.138949254304
32,33.0,4124.144436872804
33,34.0,4124.143800943861
34,35.0,4124.138942344398
35,36.0,4124.13933412649
36,37.0,4124.135085685694
37,38.0,4125.440242667789
38,39.0,4124.502778073551
39,40.0,4124.217779812119
40,41.0,4124.146279122731
41,42.0,4124.139845082713
42,43.0,4124.153354036774
43,44.0,4124.135085657615
44,45.0,4124.135154726352
45,46.0,4124.135089852703
46,47.0,4124.135705645922
47,48.0,4124.135085657543
48,49.0,4124.153371252622
49,50.0,4124.135085657543
50,51.0,4124.152637779801
51,52.0,4124.135085657542
52,53.0,4124.153369487086
53,54.0,4124.135085657541
54,55.0,4124.13508561766
55,56.0,4124.1350856041
