,Episodes,Loss
0,1.0,4078.366985397849
1,2.0,4078.366985397849
2,3.0,3949.6079494746546
3,4.0,4016.9558708529453
4,5.0,3888.7525881816564
5,6.0,3841.605997061964
6,7.0,3973.3633542632488
7,8.0,3880.370659482906
8,9.0,3842.8565844847544
9,10.0,3950.211056533991
10,11.0,3851.1303261233106
11,12.0,3846.7661423801715
12,13.0,3842.498102216734
13,14.0,3842.3640419969847
14,15.0,3870.941303403026
15,16.0,3843.1616745620454
16,17.0,3841.5573802546214
17,18.0,3834.5874761000473
18,19.0,3816.3489255779396
19,20.0,3820.8319741110845
20,21.0,3816.5914259548695
21,22.0,3816.102901040306
22,23.0,3879.7655456397374
23,24.0,3816.9920861074806
24,25.0,3816.52310956198
25,26.0,3816.0987020140365
26,27.0,3816.559539141951
27,28.0,3816.41290445327
28,29.0,3816.0987004913354
29,30.0,3816.098386089991
30,31.0,3816.0976949523506
31,32.0,3816.413161314416
32,33.0,3816.0976949523506
33,34.0,3881.1142074084305
34,35.0,3821.531672313992
35,36.0,3816.286887337634
36,37.0,3816.591555335905
37,38.0,3816.413110062027
38,39.0,3816.0976948187595
39,40.0,3816.413296968808
40,41.0,3816.0976947606086
41,42.0,3816.413420305759
42,43.0,3816.097694735285
43,44.0,3816.0976936913858
44,45.0,3816.0975846862298
45,46.0,3816.4134608083186
46,47.0,3816.0975846834976
47,48.0,3816.0975846402994
48,49.0,3816.41350009454
49,50.0,3816.0975846396127
50,51.0,3816.0975846366773
51,52.0,3816.0975666641225
52,53.0,3816.41350677253
53,54.0,3816.41350677253
54,55.0,3976.581619770999
55,56.0,3858.2162535178904
56,57.0,3865.871685797668
57,58.0,3877.9653307648096
58,59.0,3823.284542358079
59,60.0,3816.0100172654197
60,61.0,3817.114233635756
61,62.0,3816.0057378205447
62,63.0,3815.9573263549596
63,64.0,3815.954442405018
64,65.0,3815.9553468104264
65,66.0,3815.952955981532
66,67.0,3815.9530428192634
67,68.0,3815.952955981532
68,69.0,3812.700840137183
69,70.0,3815.4150951696383
70,71.0,3816.730543942821
71,72.0,3812.0323021011
72,73.0,3811.5547291513267
73,74.0,3809.0207023521625
74,75.0,3808.960400353034
75,76.0,3808.9040289130094
76,77.0,3814.9618761813017
77,78.0,3808.88609783004
78,79.0,3814.4312392021498
79,80.0,3819.7477906765826
80,81.0,3814.8740751636947
81,82.0,3808.884011915518
82,83.0,3808.881957061266
83,84.0,3815.022392304255
84,85.0,3808.8814533875743
85,86.0,3808.8809533967324
86,87.0,3815.0961283064066
87,88.0,3808.8808296132065
88,89.0,3808.8807062782053
89,90.0,3815.132943714759
90,91.0,3808.8806755926416
91,92.0,3808.880644962417
92,93.0,3815.1513088070355
93,94.0,3808.880637323255
94,95.0,3808.880629690967
95,96.0,3808.8727819816518
96,97.0,3815.1156565978695
97,98.0,3808.872755467372
98,99.0,3815.1308796935123
99,100.0,3808.8727439459417
100,101.0,3815.140928332774
101,102.0,3808.872738935276
102,103.0,3808.869943415399
103,104.0,3815.148693750784
104,105.0,3808.8699426215967
105,106.0,3808.869751340526
106,107.0,3815.1524401156194
107,108.0,3808.869751155805
108,109.0,3815.1537137866403
109,110.0,3808.8697510753527
110,111.0,3808.869744935432
111,112.0,3808.868877115795
112,113.0,3808.868304355572
113,114.0,3880.90093134378
114,115.0,3868.0693139497803
115,116.0,3803.865056114671
116,117.0,3796.8810660265694
117,118.0,3796.3491134437368
118,119.0,3793.223243965106
119,120.0,3805.468804478124
120,121.0,3792.852133946991
121,122.0,3792.6166408743743
122,123.0,3799.625805734773
123,124.0,3792.389625138835
124,125.0,3777.381925131046
125,126.0,3794.437913618011
126,127.0,3773.2360167911206
127,128.0,3739.437870235976
128,129.0,2396.156592155905
129,130.0,2396.156592155905
130,131.0,2396.156592155905
131,132.0,2354.9068495433253
132,133.0,2354.9068495433253
133,134.0,2338.4871784871057
134,135.0,2323.357739951555
135,136.0,2323.357739951555
136,137.0,2319.676097725712
137,138.0,2351.4343366669186
138,139.0,2299.8328153921448
139,140.0,2392.4901285597653
140,141.0,2294.4777279100467
141,142.0,2268.138711957804
142,143.0,2244.329269781477
143,144.0,2244.329269781477
144,145.0,2244.329269781477
145,146.0,2240.727873423585
146,147.0,2118.5244143608993
147,148.0,2118.5244143608993
148,149.0,2118.374826737811
149,150.0,2118.374826737811
150,151.0,2118.3099049774637
151,152.0,2100.6990425672693
152,153.0,1366.604113550413
153,154.0,1316.6238721004856
154,155.0,1267.3181442728805
155,156.0,1267.3181442728805
156,157.0,1268.6482431558072
157,158.0,1267.3181442728805
158,159.0,1229.717926184786
159,160.0,1229.717926184786
160,161.0,1230.0347071394785
161,162.0,1229.1295862712714
162,163.0,1228.8222653058194
163,164.0,1230.237585026687
164,165.0,1228.7273252172185
165,166.0,1230.3511442303095
166,167.0,1228.6923307621203
167,168.0,1228.2859635802374
168,169.0,1228.1516174552482
169,170.0,1228.1516174552482
170,171.0,1230.3283347295803
171,172.0,1228.1507185927148
172,173.0,1230.3442242951999
173,174.0,1228.1503321417401
174,175.0,1230.3546675973423
175,176.0,1228.1501652330523
176,177.0,1230.3615412720933
177,178.0,1228.150092932117
178,179.0,1230.3658006557714
179,180.0,1228.1500615491389
180,181.0,1228.1365661707835
181,182.0,1230.366682959929
182,183.0,1228.1365646005731
183,184.0,1228.1357746014996
184,185.0,1230.3673925921798
185,186.0,1228.1357743327424
186,187.0,1228.1357091772845
187,188.0,1230.367731807862
188,189.0,1228.1357091772845
189,190.0,1217.257137720904
190,191.0,1222.4069301735462
191,192.0,1216.9320811888774
192,193.0,1219.9984145349154
193,194.0,1216.9320811888774
