,Episodes,Loss
0,1.0,3927.583734710884
1,2.0,3927.583734710884
2,3.0,3950.4429025455174
3,4.0,3924.415186213339
4,5.0,3918.2956121467064
5,6.0,3951.9915895295494
6,7.0,3915.96431159456
7,8.0,3931.811943314651
8,9.0,3915.96431159456
9,10.0,3915.96431159456
10,11.0,3914.60782114314
11,12.0,3814.366911684651
12,13.0,3814.366911684651
13,14.0,2957.6848182348613
14,15.0,2957.6848182348613
15,16.0,2957.6848182348613
16,17.0,2957.6848182348613
17,18.0,2406.3835828340325
18,19.0,2405.27605006059
19,20.0,2036.3425684876252
20,21.0,2036.3425684876252
21,22.0,2036.3425684876252
22,23.0,1859.0321316974525
23,24.0,1907.0277599646222
24,25.0,1787.7374131294914
25,26.0,1787.7374131294914
26,27.0,1898.0921722519458
27,28.0,1832.6098678139172
28,29.0,1794.907588275136
29,30.0,1784.6933601791814
30,31.0,1784.4971545963822
31,32.0,1784.3031440222337
32,33.0,1784.1724034703914
33,34.0,1783.8857708723133
34,35.0,1782.8480044247362
35,36.0,1781.8125507955683
36,37.0,1734.822859481211
37,38.0,1734.822859481211
38,39.0,1731.1017390551654
39,40.0,1731.8116047152896
40,41.0,1731.1017390551654
41,42.0,1768.617785800071
42,43.0,1734.7343909086003
43,44.0,1734.056634134078
44,45.0,1734.7021693903507
45,46.0,1731.1017362983173
46,47.0,1731.101735087771
47,48.0,1734.8112331171628
48,49.0,1734.303688884611
49,50.0,1731.1017350877796
50,51.0,1731.101735087771
51,52.0,1731.6253731773852
52,53.0,1734.0077419348042
53,54.0,1734.8270047707347
54,55.0,1731.1017350273694
55,56.0,1734.303689520565
56,57.0,1731.1017350273694
57,58.0,1731.1017350273721
58,59.0,1731.1017350273694
