,Episodes,Loss
0,1.0,10810.666064889196
1,2.0,7669.482590691827
2,3.0,7669.482590691827
3,4.0,6334.189444225052
4,5.0,6450.422576514892
5,6.0,6350.444805442208
6,7.0,6352.525954898371
7,8.0,6333.877390251499
8,9.0,6332.343237438529
9,10.0,6276.533012443848
10,11.0,6199.774003449079
11,12.0,6270.0324202020465
12,13.0,5844.695844491917
13,14.0,5681.051474157064
14,15.0,5681.051474157064
15,16.0,5667.670838118795
16,17.0,5588.622371132507
17,18.0,5588.622371132507
18,19.0,5588.622371132507
19,20.0,5641.315569222694
20,21.0,5665.834340705224
21,22.0,5605.867658384552
22,23.0,5597.669454256639
23,24.0,5588.525504377326
24,25.0,5587.289791604239
25,26.0,5589.421562152387
26,27.0,5586.835142372803
27,28.0,5588.13284343212
28,29.0,5585.6375243577695
29,30.0,5586.331006476143
30,31.0,5585.840308127394
31,32.0,5585.6375243577695
32,33.0,5585.6375243577695
33,34.0,5729.482918528389
34,35.0,5625.616421347055
35,36.0,5608.184117053364
36,37.0,5595.451707076691
37,38.0,5587.656621455651
38,39.0,5586.262044236404
39,40.0,5585.87121731228
40,41.0,5585.714356680837
41,42.0,5585.643952734537
42,43.0,5585.153199810173
43,44.0,5586.978446190497
44,45.0,5584.845974547856
45,46.0,5585.550084467233
46,47.0,5584.888675690116
47,48.0,5584.845974547856
48,49.0,5584.845974547856
49,50.0,5676.380140146706
50,51.0,5603.160926522901
51,52.0,5594.218209317249
52,53.0,5586.917340933802
53,54.0,5585.694826664395
54,55.0,5584.904801509598
55,56.0,5584.849825812572
56,57.0,5584.851477664314
57,58.0,5584.851397775448
58,59.0,5584.845974547774
59,60.0,5584.845974547774
60,61.0,5585.012158198626
61,62.0,5584.845974547774
62,63.0,5584.845974547774
63,64.0,5584.845999713425
64,65.0,5584.845974547977
65,66.0,5584.845974547919
66,67.0,5584.845974547774
67,68.0,5584.845974547739
68,69.0,5584.845974547739
69,70.0,5584.845974547739
70,71.0,5584.845974547739
71,72.0,5584.845974547739
72,73.0,5584.845974547739
73,74.0,5715.310722348548
74,75.0,5623.881700578731
75,76.0,5590.5141574750805
76,77.0,5586.355568846992
77,78.0,5585.5951454581655
78,79.0,5584.873535130961
79,80.0,5584.847965815576
80,81.0,5584.847667356018
81,82.0,5585.012158208843
82,83.0,5584.845974547856
83,84.0,5584.845976081535
84,85.0,5584.8459745474465
85,86.0,5584.845999714738
86,87.0,5584.845974547327
