,Episodes,Loss
0,1.0,15725.7616253772
1,2.0,10126.396689888392
2,3.0,9237.78335925368
3,4.0,7055.5934903962425
4,5.0,7055.5934903962425
5,6.0,6095.65087843502
6,7.0,6095.65087843502
7,8.0,4254.7748850695225
8,9.0,4254.7748850695225
9,10.0,4276.0185420024045
10,11.0,4262.446346245828
11,12.0,4254.739535155205
12,13.0,4253.854120458765
13,14.0,4253.850231133939
14,15.0,4262.609796909003
15,16.0,4253.848571764571
16,17.0,4262.717175183906
17,18.0,4253.847858636203
18,19.0,4262.787830316604
19,20.0,4253.847550726296
20,21.0,4262.834370073588
21,22.0,4253.847550726296
22,23.0,4253.847550726296
23,24.0,4274.382549398417
24,25.0,4261.344746709161
25,26.0,4253.805067783815
26,27.0,4261.8640407883695
27,28.0,4253.7878292176665
28,29.0,4262.203683148499
29,30.0,4253.78064792842
30,31.0,4262.424368077231
31,32.0,4253.777607242717
32,33.0,4262.569108517751
33,34.0,4253.77630678676
34,35.0,4262.664247423678
35,36.0,4253.775747032798
36,37.0,4262.726871320288
37,38.0,4253.77550510168
38,39.0,4262.7681305734
39,40.0,4253.775400255475
40,41.0,4262.795330252289
41,42.0,4253.775354738196
42,43.0,4253.775354738196
43,44.0,3670.034583137332
44,45.0,3670.034583137332
45,46.0,3670.034583137332
46,47.0,3771.0192773011554
47,48.0,3440.9675964403864
48,49.0,3377.7606086246024
49,50.0,3377.7606086246024
50,51.0,3343.0285967444015
51,52.0,3286.724191189752
52,53.0,3286.724191189752
53,54.0,3286.724191189752
54,55.0,3286.7223759378203
55,56.0,3286.7223759378203
56,57.0,3286.7216001481747
57,58.0,3286.7216001481747
58,59.0,3286.7212663873515
59,60.0,3286.7212663873515
60,61.0,3286.7211221971697
61,62.0,3286.7211221971697
62,63.0,3286.7210597302897
63,64.0,3286.7210597302897
64,65.0,3286.721032617595
65,66.0,3286.721032617595
66,67.0,3286.721020838587
67,68.0,3286.721020838587
68,69.0,3286.721015716647
69,70.0,3286.721015716647
70,71.0,3286.7210134881225
71,72.0,3286.7210134881225
72,73.0,3286.7210134881225
73,74.0,3286.7210134881225
74,75.0,3286.7210134881225
75,76.0,3286.7202336285413
76,77.0,3286.7202336285413
77,78.0,3286.7185627321223
78,79.0,3286.7185627321223
79,80.0,3286.71784315032
80,81.0,3286.71784315032
81,82.0,3286.717532303364
82,83.0,3286.717532303364
83,84.0,3286.717397638558
84,85.0,3286.717397638558
85,86.0,3286.717339205892
86,87.0,3286.717339205892
87,88.0,3286.7173138173753
88,89.0,3286.7173138173753
89,90.0,3286.717302776729
90,91.0,3286.717302776729
91,92.0,3286.7172979727575
